benchmark_id,platform_type,benchmark,split,task
m2w_domain,web,Mind2Web,test,Browse vegan lasagna recipes and sort by Highest rated.
m2w_domain,web,Mind2Web,test,Find articles about gluten-free desserts.
m2w_domain,web,Mind2Web,test,"Add a recipe to your ""favorites"" list."
m2w_domain,web,Mind2Web,test,"Find a most reviewed dairy free pasta recipe, which can be prepared from 5 or less ingredients and save it."
m2w_domain,web,Mind2Web,test,with a $100 to $300 budget search for student accommodation close to London business school with a no visa no pay cancellation policy
m2w_domain,web,Mind2Web,test,Play a past episode of one of their podcasts
m2w_domain,web,Mind2Web,test,Check the hourly forecast for Boston.
m2w_domain,web,Mind2Web,test,Look up the pollutants of New York City.
m2w_domain,web,Mind2Web,test,"Find out the wind speed and humidity in Tallahassee, FL for today."
m2w_domain,web,Mind2Web,test,Find a property which is nearest to  Aston University.
m2w_domain,web,Mind2Web,test,Find a Metlife Vision plus affiliated Gujarati-speaking male Chiropractor within 5 miles of New York for an in-person visit as soon as possible.
m2w_domain,web,Mind2Web,test,Check reviews of Dr. Theresa Meotti.
m2w_domain,web,Mind2Web,test,Open the job search I've been looking recently.
m2w_domain,web,Mind2Web,test,Look for customer service jobs in Chicago that have a minimum wage of $20 per hour and require no experience.
m2w_domain,web,Mind2Web,test,Look for healthcare jobs in Los Angeles that require a Bachelor's degree and don't require weekends.
m2w_domain,web,Mind2Web,test,Browse home office jobs with salary over 25000.
m2w_domain,web,Mind2Web,test,Find a white female kitten within 35 miles of zip 77494.
m2w_domain,web,Mind2Web,test,Browse senior spayed/neutered dogs near zip code 90028.
m2w_domain,web,Mind2Web,test,Save 2 different properties with lowest price in San Diego to wishlist.
m2w_domain,web,Mind2Web,test,Browse dentists 10 miles near zip code 90028 and filter by 4 stars and up
m2w_domain,web,Mind2Web,test,Find the closest 5-star rated dentist to zip code 98011
m2w_domain,web,Mind2Web,test,Browse the natural products database.
m2w_domain,web,Mind2Web,test,Find the Drug Interaction Report for viagra and alcohol
m2w_domain,web,Mind2Web,test,Show side effects of Tamiflu.
m2w_domain,web,Mind2Web,test,Browse Humira dosage information.
m2w_domain,web,Mind2Web,test,Show the list of Medications for Anxiety
m2w_domain,web,Mind2Web,test,Check drug interaction for melatonin and Folate Forte.
m2w_domain,web,Mind2Web,test,Check the interaction between Novolin N and Novolin R.
m2w_domain,web,Mind2Web,test,find the interactions between Eulexin and hepatic dysfunction.
m2w_domain,web,Mind2Web,test,Find the side effects of taking Montelukast
m2w_domain,web,Mind2Web,test,Find the shiping cost of a Common medium sized box in flat rate shipping and compare with other parcel services
m2w_domain,web,Mind2Web,test,Go to the page to schedule a pickup in the US.
m2w_domain,web,Mind2Web,test,Track order number 123456 for US.
m2w_domain,web,Mind2Web,test,Search the Pickup Request Status for the Pickup Request with the Number 123456
m2w_domain,web,Mind2Web,test,"Find a UPS Access Point near SPRING, TX and services provided by them"
m2w_domain,web,Mind2Web,test,Get a free cost estimate for a house cleaner
m2w_domain,web,Mind2Web,test,View the profile of a Wedding Photographer near 10203 for a 4 hour wedding on april 13
m2w_domain,web,Mind2Web,test,Find a personal trainer service at 10040 for a 25 year old client aiming to build muscle.
m2w_domain,web,Mind2Web,test,find electricians near 10203
m2w_domain,web,Mind2Web,test,Find linux platform software developers in 10080 who master the python language and java language with web interface project type.
m2w_domain,web,Mind2Web,test,Find a house cleaning service in 10001 on a weekly basis.
m2w_domain,web,Mind2Web,test,Find and contact for price a plumber near 13020 for toilet repair
m2w_domain,web,Mind2Web,test,Find the best weekly morning deep house cleaning services for a two-bedroom and two-bathroom house without a pet in zip 07718.
